ticker_id,symbol,name,active,market_cap,exchange_code,country,sector,last_close,last_date,avg_volume_30d,price_data_points,symbol_factor,as_of_date,roce,revenue_growth_5y,gross_margin,debt_to_equity,fcf_yield
1,AAPL,Apple Inc.,1,169242087589.58517,NASDAQ,USA,,344.8384315759505,2025-11-01,2737256.966666667,30,AAPL,2024-12-31,22.285012104060247,12.810855888450773,46.787027950662164,0.7704672137909723,
2,MSFT,Microsoft Corporation,1,171082708307.29318,NASDAQ,USA,,323.69853128864344,2025-11-01,2360693.566666667,30,MSFT,2024-12-31,18.12480406778154,14.308792565276995,31.838460809037457,0.5730565436947279,
4,AMZN,Amazon.com Inc.,1,208631847817.2046,NASDAQ,USA,,307.7972956953493,2025-11-01,2342466.0,30,AMZN,2024-12-31,32.26318584870531,13.014406985087053,44.84295773893233,0.617005223609009,
5,TSLA,Tesla Inc.,1,156886757495.19626,NASDAQ,USA,,313.33752900575814,2025-11-01,2540695.333333333,30,TSLA,2024-12-31,28.68906044176306,21.634059705651566,29.056995626998873,0.6559789116522925,
6,META,Meta Platforms Inc.,1,41282546665.62092,NASDAQ,USA,,56.33337047534079,2025-11-01,2794279.8,30,META,2024-12-31,20.42090514990089,14.077533013236266,40.02298886273232,0.1470362530971855,
7,NVDA,NVIDIA Corporation,1,51391413971.6872,NASDAQ,USA,,246.3536810091738,2025-11-01,2470090.066666667,30,NVDA,2024-12-31,32.66883628911761,24.982441112670173,41.899972601798765,0.36858866141967606,
9,JNJ,Johnson & Johnson,1,136333882544.69832,NYSE,USA,,210.6889174460142,2025-11-01,2711253.533333333,30,JNJ,2024-12-31,20.260881320678457,21.193986316991854,41.80451776018454,0.20273306841364747,
10,V,Visa Inc.,1,297396001715.96454,NYSE,USA,,450.4529863477792,2025-11-01,2772905.333333333,30,V,2024-12-31,24.432868974559494,16.500878496497926,39.52133509332138,0.6429484840023778,
13,DIS,The Walt Disney Company,1,382193806951.0318,NYSE,USA,,443.45017413067006,2025-11-01,2836316.1666666665,30,DIS,2024-12-31,23.174171917410952,17.49944624757414,38.026848258876996,0.5988941576042954,
14,NFLX,Netflix Inc.,1,40018609829.07856,NASDAQ,USA,,65.80191727152241,2025-11-01,2830307.966666667,30,NFLX,2024-12-31,33.894965750965376,12.162764202290788,40.15595095543088,0.40409326483588404,
15,ADBE,Adobe Inc.,1,385930661610.4088,NASDAQ,USA,,451.2199936388166,2025-11-01,2304144.833333333,30,ADBE,2024-12-31,23.176187895756932,13.922094996328665,29.965426226867784,0.6246438645480706,
16,CSCO,Cisco Systems Inc.,1,227768314280.58093,NASDAQ,USA,,507.8233495648665,2025-11-01,2544096.533333333,30,CSCO,2024-12-31,20.305012899752892,17.203717867255307,53.240781573245684,0.5935708981008925,
18,CMCSA,Comcast Corporation,1,158333027445.62015,NASDAQ,USA,,233.6127306350002,2025-11-01,2494942.1,30,CMCSA,2024-12-31,19.23787834285504,17.649679233824056,31.64501709690808,0.3392279559316107,
19,PEP,PepsiCo Inc.,1,21363530729.146973,NASDAQ,USA,,64.18181816996953,2025-11-01,2672122.033333333,30,PEP,2024-12-31,24.768794483497878,15.588677095066842,52.605087780194054,0.6237075713823469,
22,TXN,Texas Instruments Inc.,1,158818719653.18604,NASDAQ,USA,,284.072815252113,2025-11-01,3039283.8666666667,30,TXN,2024-12-31,24.17714970310057,18.98992766737878,43.03081580097107,0.49002561127437694,
24,HON,Honeywell International Inc.,1,68122509168.86643,NASDAQ,USA,,183.1370708329372,2025-11-01,2731727.6666666665,30,HON,2024-12-31,27.413660518414126,24.639390799161436,43.309588121142816,0.3194384643344577,
25,UNP,Union Pacific Corporation,1,180520577012.8823,NYSE,USA,,298.84158501070874,2025-11-01,2449252.933333333,30,UNP,2024-12-31,34.21423597915792,20.6024844617235,49.85788274971368,0.3627999218889608,
28,CAT,Caterpillar Inc.,1,28495488130.051857,NYSE,USA,,183.16633201733427,2025-11-01,2660481.8,30,CAT,2024-12-31,31.839257412011026,12.583841214821396,50.26003550744505,0.40496490836265664,
29,GS,The Goldman Sachs Group Inc.,1,9146470424.859913,NYSE,USA,,66.15673024440676,2025-11-01,2556494.4,30,GS,2024-12-31,34.129836128402545,17.681312671323205,53.85815133415761,0.2752761873021779,
30,AXP,American Express Company,1,177008000948.03024,NYSE,USA,,476.5903400937918,2025-11-01,2322899.9,30,AXP,2024-12-31,27.8974774082986,23.91804661733071,46.49244326184051,0.3696736124629,
