ticker_id,symbol,name,active,market_cap,exchange_code,country,sector,last_close,last_date,avg_volume_30d,price_data_points,symbol_factor,as_of_date,roce,revenue_growth_5y,gross_margin,debt_to_equity,fcf_yield,symbol_metrics,positive_fcf_years,cumulative_5yr_fcf,margin_volatility,avg_gross_margin,avg_reinvestment_rate,years_data
3,GOOGL,Alphabet Inc.,1,264012660722.7622,NASDAQ,USA,,460.20511380249513,2025-11-01,2989620.8666666667,30,GOOGL,2024-12-31,21.93008684785412,21.872726633081605,38.36498385633881,0.7018264091663815,,GOOGL,4,7375036616.21512,4.223417928237372,37.68170161402957,26.714500287974907,5
8,JPM,JPMorgan Chase & Co.,1,238122003962.1403,NYSE,USA,,437.0353163412188,2025-11-01,2847848.9,30,JPM,2024-12-31,27.901781295965336,16.522215167117505,39.82914750320589,0.1678962655431994,,JPM,4,4389321973.274366,6.668197689882942,32.751609234232916,28.425965186359427,5
11,WMT,Walmart Inc.,1,169612489134.35614,NYSE,USA,,342.91179789287554,2025-11-01,2590616.9,30,WMT,2024-12-31,32.48734620920489,20.02313715816952,36.06725255869227,0.690550070410447,,WMT,4,14814268582.15864,4.717415320042119,39.858851986917216,28.68341979685855,5
12,PG,Procter & Gamble Co.,1,39473573901.13446,NYSE,USA,,273.51701185276363,2025-11-01,2590358.5,30,PG,2024-12-31,21.77130428161806,15.169833022450051,52.310396926805154,0.1474881696826682,,PG,3,2598545208.252884,5.1474683775560885,32.48684255572457,31.417123608605596,5
17,INTC,Intel Corporation,1,218899372418.08145,NASDAQ,USA,,282.7976063999866,2025-11-01,2507194.433333333,30,INTC,2024-12-31,32.27817104752336,12.532195950641384,34.9980046788876,0.2821534284164457,,INTC,3,4861738046.6604805,5.966033940467678,31.363805823414776,26.82536068673977,5
20,COST,Costco Wholesale Corporation,1,50428574848.68189,NASDAQ,USA,,163.50065067570165,2025-11-01,2363850.8,30,COST,2024-12-31,32.96455181420404,15.935688837184507,50.26314355943427,0.6537085934529056,,COST,5,15711250818.421015,6.272309845708556,36.77478736895813,32.79738660998696,5
21,AVGO,Broadcom Inc.,1,50167862210.98978,NASDAQ,USA,,108.50428788198856,2025-11-01,2339294.9,30,AVGO,2024-12-31,31.680063864482022,15.662915056776662,37.38062658046283,0.5630303225620169,,AVGO,3,514899682.6435275,5.556699496913679,36.95506542913743,29.24530533719326,5
23,QCOM,QUALCOMM Inc.,1,88272588524.65756,NASDAQ,USA,,141.17586496626473,2025-11-01,2416452.7333333334,30,QCOM,2024-12-31,28.31953148863788,21.0594605095402,39.94977631591302,0.1944132259422586,,QCOM,3,18098889618.64618,3.3660854365330306,39.041973001708534,31.699960092213768,5
26,UPS,United Parcel Service Inc.,1,356868918668.94666,NYSE,USA,,488.6610548743608,2025-11-01,2695694.333333333,30,UPS,2024-12-31,22.221232790790456,13.33055356373217,48.53872361028911,0.2784362012560464,,UPS,3,7911355935.030359,6.9331855622367105,33.0388082093892,29.240277602262374,5
27,BA,The Boeing Company,1,131117591031.59148,NYSE,USA,,182.96194016493985,2025-11-01,2303983.6666666665,30,BA,2024-12-31,29.641078234135268,15.537331956600994,41.36247748521392,0.5101916249067266,,BA,3,16456929324.425716,7.259984097117752,37.77199888793119,31.84311773317477,5
