ticker_id,symbol,name,active,market_cap,exchange_code,country,sector,last_close,last_date,avg_volume_30d,price_data_points
1,AAPL,Apple Inc.,1,169242087589.58517,NASDAQ,USA,,344.83843157595055,2025-11-01,2737256.966666667,30
2,MSFT,Microsoft Corporation,1,171082708307.29318,NASDAQ,USA,,323.69853128864344,2025-11-01,2360693.566666667,30
3,GOOGL,Alphabet Inc.,1,264012660722.7622,NASDAQ,USA,,460.20511380249513,2025-11-01,2989620.8666666667,30
4,AMZN,Amazon.com Inc.,1,208631847817.2046,NASDAQ,USA,,307.7972956953493,2025-11-01,2342466.0,30
5,TSLA,Tesla Inc.,1,156886757495.19626,NASDAQ,USA,,313.33752900575814,2025-11-01,2540695.3333333335,30
6,META,Meta Platforms Inc.,1,41282546665.62092,NASDAQ,USA,,56.33337047534079,2025-11-01,2794279.8,30
7,NVDA,NVIDIA Corporation,1,51391413971.687195,NASDAQ,USA,,246.3536810091738,2025-11-01,2470090.066666667,30
8,JPM,JPMorgan Chase & Co.,1,238122003962.1403,NYSE,USA,,437.0353163412188,2025-11-01,2847848.9,30
9,JNJ,Johnson & Johnson,1,136333882544.69833,NYSE,USA,,210.6889174460142,2025-11-01,2711253.533333333,30
10,V,Visa Inc.,1,297396001715.96454,NYSE,USA,,450.45298634777924,2025-11-01,2772905.3333333335,30
11,WMT,Walmart Inc.,1,169612489134.35614,NYSE,USA,,342.91179789287554,2025-11-01,2590616.9,30
12,PG,Procter & Gamble Co.,1,39473573901.13446,NYSE,USA,,273.51701185276363,2025-11-01,2590358.5,30
13,DIS,The Walt Disney Company,1,382193806951.0318,NYSE,USA,,443.45017413067006,2025-11-01,2836316.1666666665,30
14,NFLX,Netflix Inc.,1,40018609829.07856,NASDAQ,USA,,65.80191727152241,2025-11-01,2830307.966666667,30
15,ADBE,Adobe Inc.,1,385930661610.4088,NASDAQ,USA,,451.2199936388166,2025-11-01,2304144.8333333335,30
16,CSCO,Cisco Systems Inc.,1,227768314280.58093,NASDAQ,USA,,507.8233495648665,2025-11-01,2544096.533333333,30
17,INTC,Intel Corporation,1,218899372418.08142,NASDAQ,USA,,282.7976063999866,2025-11-01,2507194.433333333,30
18,CMCSA,Comcast Corporation,1,158333027445.62015,NASDAQ,USA,,233.6127306350002,2025-11-01,2494942.1,30
19,PEP,PepsiCo Inc.,1,21363530729.146973,NASDAQ,USA,,64.18181816996953,2025-11-01,2672122.033333333,30
20,COST,Costco Wholesale Corporation,1,50428574848.68189,NASDAQ,USA,,163.50065067570165,2025-11-01,2363850.8,30
21,AVGO,Broadcom Inc.,1,50167862210.98978,NASDAQ,USA,,108.50428788198857,2025-11-01,2339294.9,30
22,TXN,Texas Instruments Inc.,1,158818719653.18604,NASDAQ,USA,,284.072815252113,2025-11-01,3039283.8666666667,30
23,QCOM,QUALCOMM Inc.,1,88272588524.65756,NASDAQ,USA,,141.17586496626473,2025-11-01,2416452.7333333334,30
24,HON,Honeywell International Inc.,1,68122509168.86643,NASDAQ,USA,,183.1370708329372,2025-11-01,2731727.6666666665,30
25,UNP,Union Pacific Corporation,1,180520577012.8823,NYSE,USA,,298.84158501070874,2025-11-01,2449252.933333333,30
26,UPS,United Parcel Service Inc.,1,356868918668.94666,NYSE,USA,,488.66105487436084,2025-11-01,2695694.3333333335,30
27,BA,The Boeing Company,1,131117591031.59148,NYSE,USA,,182.96194016493985,2025-11-01,2303983.6666666665,30
28,CAT,Caterpillar Inc.,1,28495488130.051857,NYSE,USA,,183.16633201733427,2025-11-01,2660481.8,30
29,GS,The Goldman Sachs Group Inc.,1,9146470424.859911,NYSE,USA,,66.15673024440676,2025-11-01,2556494.4,30
30,AXP,American Express Company,1,177008000948.03024,NYSE,USA,,476.5903400937918,2025-11-01,2322899.9,30
31,IBM,International Business Machines Corporation,1,128352496113.79468,NYSE,USA,,140.0993636026885,2025-11-01,2317145.7666666666,30
32,GE,General Electric Company,1,51069363720.76093,NYSE,USA,,186.94618482490384,2025-11-01,2439504.466666667,30
33,MMM,3M Company,1,75429317008.05408,NYSE,USA,,319.9138867319172,2025-11-01,2852473.4,30
34,CVX,Chevron Corporation,1,52036370661.06102,NYSE,USA,,131.55565148966025,2025-11-01,2675219.2,30
35,XOM,Exxon Mobil Corporation,1,63041792831.29671,NYSE,USA,,79.52689878944051,2025-11-01,1877368.7333333334,30
